"","Date","Respondent","Code","Type","Timezone","Value","Units"
"230",2020-02-08,"Duke Energy Carolinas","DUK","Demand","Eastern","329142","megawatthours"
"231",2020-02-08,"New York Independent System Operator","NYIS","Demand","Eastern","415093","megawatthours"
"232",2020-02-08,"PJM Interconnection, LLC","PJM","Demand","Eastern","2189953","megawatthours"
"233",2020-02-08,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","686228","megawatthours"
"234",2020-02-08,"Tennessee Valley Authority","TVA","Demand","Eastern","479575","megawatthours"
"235",2020-02-09,"Duke Energy Progress East","CPLE","Demand","Eastern","168064","megawatthours"
"236",2020-02-09,"Duke Energy Carolinas","DUK","Demand","Eastern","292234","megawatthours"
"237",2020-02-09,"New York Independent System Operator","NYIS","Demand","Eastern","407441","megawatthours"
"238",2020-02-09,"PJM Interconnection, LLC","PJM","Demand","Eastern","2114584","megawatthours"
"239",2020-02-09,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","619666","megawatthours"
"240",2020-02-09,"Tennessee Valley Authority","TVA","Demand","Eastern","429679","megawatthours"
"241",2020-02-10,"Duke Energy Progress East","CPLE","Demand","Eastern","162337","megawatthours"
"242",2020-02-10,"Duke Energy Carolinas","DUK","Demand","Eastern","306347","megawatthours"
"243",2020-02-10,"New York Independent System Operator","NYIS","Demand","Eastern","425057","megawatthours"
"244",2020-02-10,"PJM Interconnection, LLC","PJM","Demand","Eastern","2205429","megawatthours"
"245",2020-02-10,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","614865","megawatthours"
"246",2020-02-10,"Tennessee Valley Authority","TVA","Demand","Eastern","420059","megawatthours"
"247",2020-02-11,"Duke Energy Progress East","CPLE","Demand","Eastern","139358","megawatthours"
"248",2020-02-11,"Duke Energy Carolinas","DUK","Demand","Eastern","263698","megawatthours"
"249",2020-02-11,"New York Independent System Operator","NYIS","Demand","Eastern","419608","megawatthours"
"250",2020-02-11,"PJM Interconnection, LLC","PJM","Demand","Eastern","2161579","megawatthours"
"251",2020-02-11,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","564942","megawatthours"
"252",2020-02-11,"Tennessee Valley Authority","TVA","Demand","Eastern","423832","megawatthours"
"253",2020-02-12,"Duke Energy Progress East","CPLE","Demand","Eastern","138418","megawatthours"
"254",2020-02-12,"Duke Energy Carolinas","DUK","Demand","Eastern","258532","megawatthours"
"255",2020-02-12,"New York Independent System Operator","NYIS","Demand","Eastern","415697","megawatthours"
"256",2020-02-12,"PJM Interconnection, LLC","PJM","Demand","Eastern","2233197","megawatthours"
"257",2020-02-12,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","558049","megawatthours"
"258",2020-02-12,"Tennessee Valley Authority","TVA","Demand","Eastern","438719","megawatthours"
"259",2020-02-13,"Duke Energy Progress East","CPLE","Demand","Eastern","139244","megawatthours"
"260",2020-02-13,"Duke Energy Carolinas","DUK","Demand","Eastern","259434","megawatthours"
"261",2020-02-13,"New York Independent System Operator","NYIS","Demand","Eastern","428721","megawatthours"
"262",2020-02-13,"PJM Interconnection, LLC","PJM","Demand","Eastern","2261071","megawatthours"
"263",2020-02-13,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","559517","megawatthours"
"264",2020-02-13,"Tennessee Valley Authority","TVA","Demand","Eastern","444687","megawatthours"
"265",2020-02-14,"Duke Energy Progress East","CPLE","Demand","Eastern","152308","megawatthours"
"266",2020-02-14,"Duke Energy Carolinas","DUK","Demand","Eastern","283497","megawatthours"
"267",2020-02-14,"New York Independent System Operator","NYIS","Demand","Eastern","441719","megawatthours"
"268",2020-02-14,"PJM Interconnection, LLC","PJM","Demand","Eastern","2413856","megawatthours"
"269",2020-02-14,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","630710","megawatthours"
"270",2020-02-14,"Tennessee Valley Authority","TVA","Demand","Eastern","525341","megawatthours"
"271",2020-02-15,"Duke Energy Progress East","CPLE","Demand","Eastern","178500","megawatthours"
"272",2020-02-15,"Duke Energy Carolinas","DUK","Demand","Eastern","303622","megawatthours"
"273",2020-02-15,"New York Independent System Operator","NYIS","Demand","Eastern","436670","megawatthours"
"274",2020-02-15,"PJM Interconnection, LLC","PJM","Demand","Eastern","2374451","megawatthours"
"275",2020-02-15,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","627333","megawatthours"
"276",2020-02-15,"Tennessee Valley Authority","TVA","Demand","Eastern","486265","megawatthours"
"277",2020-02-16,"Duke Energy Progress East","CPLE","Demand","Eastern","169745","megawatthours"
"278",2020-02-16,"Duke Energy Carolinas","DUK","Demand","Eastern","295521","megawatthours"
"279",2020-02-16,"New York Independent System Operator","NYIS","Demand","Eastern","402422","megawatthours"
"280",2020-02-16,"PJM Interconnection, LLC","PJM","Demand","Eastern","2104087","megawatthours"
"281",2020-02-16,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","591870","megawatthours"
"282",2020-02-16,"Tennessee Valley Authority","TVA","Demand","Eastern","397723","megawatthours"
"283",2020-02-17,"Duke Energy Progress East","CPLE","Demand","Eastern","151378","megawatthours"
"284",2020-02-17,"Duke Energy Carolinas","DUK","Demand","Eastern","282974","megawatthours"
"285",2020-02-17,"New York Independent System Operator","NYIS","Demand","Eastern","406172","megawatthours"
"286",2020-02-17,"PJM Interconnection, LLC","PJM","Demand","Eastern","2165541","megawatthours"
"287",2020-02-17,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","596733","megawatthours"
"288",2020-02-17,"Tennessee Valley Authority","TVA","Demand","Eastern","412113","megawatthours"
"289",2020-02-18,"Duke Energy Progress East","CPLE","Demand","Eastern","155165","megawatthours"
"290",2020-02-18,"Duke Energy Carolinas","DUK","Demand","Eastern","272873","megawatthours"
"291",2020-02-18,"New York Independent System Operator","NYIS","Demand","Eastern","428817","megawatthours"
"292",2020-02-18,"PJM Interconnection, LLC","PJM","Demand","Eastern","2150961","megawatthours"
"293",2020-02-18,"Southern Company Services, Inc. - Trans","SOCO","Demand","Eastern","570076","megawatthours"
